#Data tag : 22v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
352416:7652,05/27/22 07:51:18,15,9,0.000000006,0.000000003
352417:7652,05/27/22 07:57:07,176,168,0.000000060,0.000000054
352421:7652,05/27/22 09:05:17,14,7,0.000000005,0
352422:7652,05/27/22 09:10:33,22,19,0.000000007,0.000000006
352425:7652,05/27/22 09:18:57,441,441,0.000000114,0.000000113
352488:7662,05/28/22 05:23:36,19,19,0.000000005,0.000000005
352493:7663,05/28/22 06:25:37,246,206,0.000000148,0.000000123
352495:7663,05/28/22 08:01:07,11,4,0.000000006,0
352496:7663,05/28/22 08:05:16,19,12,0.000000011,0
352497:7663,05/28/22 08:12:26,13,6,0.000000007,0
352498:7663,05/28/22 08:17:21,12,6,0.000000007,0
352499:7663,05/28/22 08:21:56,68,62,0.000000037,0.000000033
352500:7663,05/28/22 08:48:20,9,5,0.000000005,0
352501:7663,05/28/22 08:51:47,13,10,0.000000007,0
352502:7663,05/28/22 08:56:37,12,6,0.000000006,0
352503:7663,05/28/22 09:01:16,41,33,0.000000021,0.000000016
352504:7663,05/28/22 09:16:52,10,3,0.000000005,0
352505:7663,05/28/22 09:20:35,139,126,0.000000064,0.000000053
352506:7663,05/28/22 10:14:20,11,4,0.000000005,0
352507:7663,05/28/22 10:18:18,8,2,0.000000003,0
352508:7663,05/28/22 10:21:15,41,34,0.000000017,0.000000010
352509:7663,05/28/22 10:37:01,293,293,0.000000109,0.000000107
352564:7670,05/29/22 06:13:16,39,32,0.000000027,0.000000021
352565:7670,05/29/22 06:28:10,17,10,0.000000011,0.000000005
352566:7670,05/29/22 06:34:42,14,7,0.000000009,0.000000003
352567:7670,05/29/22 06:39:52,128,126,0.000000062,0.000000060
352568:7670,05/29/22 07:29:36,674,671,0.000000259,0.000000255
352572:7670,05/29/22 11:51:15,117,117,0.000000030,0.000000029
352672:7679,05/31/22 07:37:16,251,184,0.000000575,0.000000396
352673:7679,05/31/22 09:14:47,225,225,0.000000759,0.000000747
352898:7692,06/03/22 06:58:53,6,0,0.000000005,0
352900:7692,06/03/22 07:01:04,31,25,0.000000024,0.000000018
352903:7692,06/03/22 07:12:58,53,46,0.000000039,0.000000033
352906:7692,06/03/22 07:33:16,48,42,0.000000034,0.000000029
352907:7692,06/03/22 07:51:48,49,42,0.000000033,0.000000028
352908:7692,06/03/22 08:10:34,50,43,0.000000032,0.000000026
352909:7692,06/03/22 08:29:39,75,71,0.000000041,0.000000038
352911:7692,06/03/22 08:58:36,11,5,0.000000006,0.000000002
352912:7692,06/03/22 09:02:39,313,311,0.000000152,0.000000145
353011:7696,06/04/22 03:34:55,8,0,0.000000008,0
353013:7696,06/04/22 03:37:35,11,4,0.000000012,0
353014:7696,06/04/22 03:41:32,9,5,0.000000009,0
353015:7696,06/04/22 03:44:54,315,315,0.000000264,0.000000262
353017:7697,06/04/22 06:22:48,4,0,0.000000004,0
353018:7697,06/04/22 06:24:12,439,439,0.000000222,0.000000217
353059:7702,06/05/22 04:37:02,8,0,0.000000006,0
353060:7702,06/05/22 04:40:05,1291,1291,0.000000496,0.000000482
353083:7703,06/05/22 14:41:54,9,0,0.000000007,0
353086:7703,06/05/22 14:44:58,12,4,0.000000010,0
353087:7703,06/05/22 14:49:19,291,291,0.000000181,0.000000178
353608:7725,06/12/22 11:17:46,209,209,0.000013455,0.000013340
353688:7733,06/13/22 07:54:46,6,0,0.000000005,0
353689:7733,06/13/22 07:57:03,200,194,0.000000119,0.000000110
353700:7733,06/13/22 09:14:37,14,8,0.000000008,0
353701:7733,06/13/22 09:19:52,30,26,0.000000016,0.000000013
353702:7733,06/13/22 09:31:15,39,34,0.000000020,0.000000017
353703:7733,06/13/22 09:46:14,35,31,0.000000017,0.000000015
353704:7733,06/13/22 09:59:31,21,18,0.000000010,0.000000008
353705:7733,06/13/22 10:07:41,30,23,0.000000014,0.000000011
353706:7733,06/13/22 10:19:03,148,137,0.000000063,0.000000056
353707:7733,06/13/22 11:16:17,53,47,0.000000020,0.000000018
353709:7733,06/13/22 11:36:35,168,168,0.000000057,0.000000056
353995:7816,06/19/22 13:15:02,141,135,0.000007002,0.000006363
353996:7816,06/19/22 14:09:49,29,23,0.000002255,0.000001713
353997:7816,06/19/22 14:20:58,196,196,0.000018209,0.000017974
354043:7822,06/20/22 07:56:41,10,0,0.000000018,0
354048:7822,06/20/22 08:00:13,34,27,0.000000089,0.000000068
354050:7822,06/20/22 08:13:07,137,123,0.000000319,0.000000284
354054:7822,06/20/22 09:06:07,297,292,0.000000517,0.000000492
354056:7822,06/20/22 11:01:14,179,179,0.000000234,0.000000231
354113:7825,06/21/22 12:01:52,830,826,0.000053629,0.000052531
354130:7825,06/21/22 17:25:31,39,39,0.000001613,0.000001592
354312:7856,06/24/22 02:06:58,113,107,0.000009686,0.000008869
